Part,Happy_1_A,Happy_2_A,Happy_3_A,Happy_4_A,Happy_5_A,Happy_6_A,Happy_7_A,Happy_8_A,Happy_1_B,Happy_2_B,Happy_3_B,Happy_4_B,Happy_5_B,Happy_6_B,Happy_7_B,Happy_8_B,Surpr_1_A,Surpr_2_A,Surpr_3_A,Surpr_4_A,Surpr_5_A,Surpr_6_A,Surpr_7_A,Surpr_8_A,Surpr_1_B,Surpr_2_B,Surpr_3_B,Surpr_4_B,Surpr_5_B,Surpr_6_B,Surpr_7_B,Surpr_8_B,Disgust_1_A,Disgust_2_A,Disgust_3_A,Disgust_4_A,Disgust_5_A,Disgust_6_A,Disgust_7_A,Disgust_8_A,Disgust_1_B,Disgust_2_B,Disgust_3_B,Disgust_4_B,Disgust_5_B,Disgust_6_B,Disgust_7_B,Disgust_8_B,Sad_1_A,Sad_2_A,Sad_3_A,Sad_4_A,Sad_5_A,Sad_6_A,Sad_7_A,Sad_8_A,Sad_1_B,Sad_2_B,Sad_3_B,Sad_4_B,Sad_5_B,Sad_6_B,Sad_7_B,Sad_8_B,Afraid_1_A,Afraid_2_A,Afraid_3_A,Afraid_4_A,Afraid_5_A,Afraid_6_A,Afraid_7_A,Afraid_8_A,Afraid_1_B,Afraid_2_B,Afraid_3_B,Afraid_4_B,Afraid_5_B,Afraid_6_B,Afraid_7_B,Afraid_8_B,Angry_1_A,Angry_2_A,Angry_3_A,Angry_4_A,Angry_5_A,Angry_6_A,Angry_7_A,Angry_8_A,Angry_1_B,Angry_2_B,Angry_3_B,Angry_4_B,Angry_5_B,Angry_6_B,Angry_7_B,Angry_8_B,
1,NaN,3.7553,9.3924,4.9416,2.934,3.9082,7.9518,5.796,NaN,5.5241,5.7586,3.5866,5.0733,4.5918,4.8146,4.8775,12.392,NaN,4.0211,6.3596,11.535,6.4553,4.1258,7.7364,6.9816,NaN,5.4771,4.6874,4.5026,6.5209,5.8015,5.1913,12.761,NaN,NaN,5.753,6.3465,4.218,5.0065,4.9528,NaN,NaN,4.9328,7.5828,6.3823,4.1863,5.4344,11.719,6.6363,NaN,4.3004,NaN,NaN,4.0273,5.7239,NaN,11.567,13.737,7.0264,5.6877,7.9865,6.2563,NaN,NaN,NaN,6.9591,7.8821,NaN,15.71,NaN,8.0415,NaN,NaN,11.462,NaN,NaN,6.994,NaN,NaN,11.684,NaN,NaN,NaN,NaN,NaN,NaN,4.3218,5.9967,NaN,NaN,NaN,NaN,7.5228,NaN,7.7639,4.1212
2,NaN,NaN,2.0429,3.0068,4.6783,3.0418,2.8116,1.8266,NaN,9.2085,1.8642,4.5232,2.376,2.4426,3.5545,2.9607,NaN,3.9234,3.6641,2.3313,4.5448,2.8224,6.3132,1.8194,NaN,NaN,4.7082,3.4412,3.4531,3.6207,4.8883,2.3774,NaN,3.7957,5.9124,2.9404,NaN,3.0919,3.6995,2.9661,NaN,NaN,NaN,3.9967,3.1474,3.5797,NaN,6.7668,4.0336,4.6599,3.0437,2.1421,3.5257,NaN,3.5289,2.1073,NaN,NaN,4.147,4.8667,3.0554,3.3682,5.5053,3.3414,2.6872,NaN,NaN,4.9291,NaN,2.0097,3.2663,3.5192,NaN,NaN,NaN,NaN,4.1389,5.2597,5.3484,5.6374,NaN,NaN,NaN,NaN,NaN,6.5529,2.829,NaN,NaN,NaN,8.7778,NaN,4.3943,4.9419,4.0012,4.882
3,6.301,6.8404,9.9367,4.1125,5.1498,3.2368,5.6648,5.5461,NaN,7.6316,5.7891,4.272,4.5113,3.7328,4.0155,5.4043,NaN,NaN,NaN,3.7322,7.3321,7.1543,6.2271,5.8342,10.212,NaN,NaN,4.0823,4.0133,4.5137,5.2634,4.7588,NaN,NaN,NaN,5.4212,4.2771,6.1161,5.0401,5.2739,14.622,NaN,NaN,4.7223,10.432,3.3522,3.2439,3.3947,7.5196,NaN,15.707,6.1163,NaN,3.3173,3.1834,3.8666,10.964,17.879,4.0992,6.6122,4.4261,2.994,4.2101,2.6113,NaN,NaN,NaN,NaN,8.1108,7.3676,NaN,6.7443,NaN,NaN,NaN,NaN,7.477,NaN,6.7478,5.8152,NaN,NaN,7.1885,NaN,6.3879,6.8513,5.956,6.137,NaN,NaN,NaN,NaN,6.0041,4.8807,6.3196,6.7016
4,15.611,5.6592,4.6807,2.8702,2.972,2.2547,2.2134,2.4165,5.8222,2.3583,4.3672,3.0085,2.144,2.2374,2.038,1.887,NaN,4.8999,3.2356,2.7478,2.4657,2.9029,2.6576,4.1715,NaN,NaN,5.7852,2.9126,3.2068,2.5872,4.3696,2.4263,NaN,NaN,NaN,5.8842,3.6543,4.0422,5.0264,5.227,NaN,3.3899,NaN,NaN,3.6939,4.11,6.7154,4.9783,5.0583,5.603,3.8021,5.9066,3.8443,3.6835,3.1497,5.4309,5.6086,6.8534,4.5486,4.7048,2.9066,3.2461,3.617,3.1572,4.5248,NaN,NaN,2.4337,3.1119,NaN,2.6041,NaN,NaN,2.401,NaN,NaN,2.9783,1.9226,NaN,2.7054,NaN,NaN,NaN,5.6567,NaN,5.7392,4.2778,3.8738,NaN,NaN,NaN,NaN,2.1298,4.4042,3.2597,2.6874
5,NaN,1.896,1.6099,1.8149,1.6115,1.7051,1.5067,1.8067,3.0361,1.6442,2.3727,1.5925,1.9605,1.3957,1.4402,1.4353,NaN,NaN,2.8563,2.7607,1.7718,3.204,1.6054,2.0516,NaN,NaN,2.9037,2.0575,1.8309,2.1676,1.5081,1.6595,NaN,NaN,2.5546,2.4809,1.7397,1.7217,1.8597,1.8485,NaN,NaN,NaN,2.1123,2.0115,1.5508,1.6891,1.9524,2.1183,2.887,1.8497,1.8334,1.8754,1.8483,1.9831,1.9905,2.0854,3.5494,1.9673,2.5079,2.0563,2.4197,1.7859,2.2548,NaN,NaN,NaN,2.1515,2.1164,2.8674,1.9522,2.165,NaN,4.1717,2.3788,1.5244,3.3335,2.097,2.5537,2.321,NaN,NaN,NaN,2.7238,3.4034,3.0516,2.9261,2.3364,NaN,NaN,NaN,NaN,2.5195,2.3585,1.7779,2.7215
6,4.1197,4.3433,4.1592,3.6034,5.1546,7.5064,3.9926,3.8937,6.4684,3.518,3.3385,2.2214,4.3275,3.3317,2.6566,3.2402,11.741,NaN,10.182,5.0927,5.0709,6.5529,4.2117,5.3346,8.9389,3.8071,NaN,4.1471,3.4975,6.6232,6.1732,3.8856,NaN,NaN,3.7288,4.1486,4.4874,3.2204,3.7062,4.0543,NaN,NaN,2.8145,NaN,NaN,4.527,4.4514,4.0823,6.2321,5.1126,3.0186,8.0204,5.898,11.006,3.1353,5.6458,NaN,NaN,9.5059,11.079,3.3574,5.1632,4.6743,NaN,NaN,7.8271,NaN,3.1917,4.9659,4.191,5.2849,4.3854,4.9192,NaN,NaN,5.5279,4.001,4.5561,3.7808,5.5082,NaN,NaN,NaN,NaN,3.773,NaN,NaN,12.089,NaN,NaN,NaN,NaN,NaN,3.472,NaN,4.1897
7,3.9779,5.6755,3.4993,1.9284,2.2652,2.0149,3.0981,1.8993,4.8443,2.7666,1.9676,2.3296,2.2702,1.846,1.7677,2.1447,NaN,NaN,3.6356,2.5698,2.8575,3.7191,2.305,3.6403,NaN,NaN,2.1955,2.2083,1.7881,2.5949,1.9307,2.5117,NaN,3.8506,9.8506,2.4309,2.5901,3.0325,3.4888,3.8176,NaN,6.6739,NaN,2.9088,2.6322,1.9917,2.4456,1.7942,4.7819,NaN,NaN,12.408,2.043,8.3428,3.2019,2.8276,4.1808,NaN,4.0193,4.2207,4.0259,2.9907,3.5229,2.6822,NaN,NaN,NaN,3.2807,5.0098,2.6652,4.0438,2.868,NaN,NaN,6.5917,7.2104,2.637,3.0774,2.6439,3.1999,NaN,NaN,5.7272,NaN,NaN,NaN,NaN,7.842,NaN,NaN,NaN,12.431,NaN,6.1718,12.295,NaN
8,NaN,2.6455,2.5814,2.5008,2.3558,2.6727,2.2082,1.4861,4.3221,4.2114,2.861,2.7819,2.1434,2.9881,1.9013,3.1654,NaN,3.7292,2.6504,3.7294,2.6769,1.8048,3.1115,4.7859,NaN,13.369,2.4246,2.388,4.3586,4.0027,4.6924,3.0488,NaN,4.3198,NaN,3.4139,5.7947,4.7428,4.7388,3.7361,NaN,NaN,5.69,5.4651,4.1634,4.8515,10.489,8.2423,5.0928,2.9421,3.7382,2.1868,4.1551,3.3614,5.2853,2.4363,6.874,11.295,4.4108,3.4825,2.8722,5.7543,3.2372,5.8796,NaN,NaN,3.1509,3.0657,2.1775,2.6692,3.6506,5.4821,NaN,7.9461,NaN,NaN,5.4164,3.825,4.8918,3.3183,NaN,NaN,NaN,6.8709,4.3005,3.5603,3.6541,3.4123,NaN,10.864,NaN,6.256,3.8095,7.0983,4.6105,4.416
9,1.7342,2.5428,1.8864,1.7999,1.5964,1.797,1.6784,1.8596,4.8388,2.4913,2.6086,2.1099,1.9819,1.8648,1.9834,1.8941,NaN,NaN,2.35,2.8618,3.956,4.3608,6.9259,3.625,NaN,NaN,4.5433,3.084,3.4616,3.3232,3.2774,2.7484,NaN,NaN,2.6902,2.9798,3.3021,2.0514,2.3439,2.6356,NaN,3.4937,2.3738,5.1334,4.7746,2.8853,2.5459,2.3297,NaN,1.7523,2.919,3.5749,2.4503,2.1993,NaN,3.4744,3.2256,4.7298,4.8434,3.9231,2.6663,2.7774,2.8423,2.3021,NaN,NaN,4.0409,2.9137,NaN,2.6757,3.701,2.1287,NaN,NaN,NaN,NaN,4.152,9.052,3.5309,3.0539,NaN,NaN,NaN,NaN,NaN,4.3458,3.3159,4.9018,NaN,NaN,7.3354,8.5491,2.9517,4.1144,3.5758,3.5718
10,3.7358,5.0905,3.3655,2.3155,2.3237,3.0505,2.5196,1.8852,NaN,2.166,2.6988,2.321,4.1375,2.4156,2.4624,3.179,8.9696,3.3988,3.0442,8.3161,7.3497,3.4324,2.2586,5.0988,5.8846,5.781,5.6033,2.6141,5.1812,3.6035,5.7876,7.4755,NaN,4.697,NaN,8.4976,4.3291,5.0888,NaN,4.1789,NaN,NaN,NaN,NaN,2.9047,3.8585,6.4177,3.6269,4.1683,5.867,5.615,2.8988,5.5377,2.8929,2.7327,4.0064,4.5682,NaN,4.311,6.3268,2.4173,3.9315,3.1743,3.5045,NaN,NaN,2.4758,3.8727,NaN,NaN,6.6518,5.8576,NaN,NaN,4.2138,NaN,4.8234,4.2177,3.2482,5.8481,NaN,NaN,7.0133,NaN,NaN,NaN,2.835,NaN,NaN,NaN,NaN,2.8028,NaN,3.9606,4.5899,6.3275
